customer_id,age,gender,education,marital_status,income_clp,region,registration_date,total_purchases,total_spent_clp,online_purchases,store_purchases,complaints,satisfaction_score,last_purchase_days
C00001,47,Femenino,Media,Soltero,781889.0,Biobío,2024-02-05,12,537694,7,5,0,4.0,206
C00002,40,Femenino,Media,Soltero,1242577.0,Araucanía,2020-02-11,9,862822,6,11,0,4.0,242
C00003,49,Masculino,Media,Soltero,1347579.0,Araucanía,2020-10-12,20,1195473,5,4,1,4.0,306
C00004,60,Masculino,Técnica,Casado,686279.0,Biobío,2023-10-13,15,1571007,4,8,0,3.0,184
C00005,39,Femenino,Universitaria,Casado,1394730.0,Biobío,2018-01-29,14,410407,7,6,0,3.0,128
C00006,39,Masculino,Técnica,Soltero,1119021.0,Metropolitana,2024-08-16,13,432554,10,6,2,4.0,230
C00007,60,Femenino,Técnica,Soltero,508549.0,Metropolitana,2023-11-15,23,1152418,7,9,1,4.0,41
C00008,51,Masculino,Técnica,Casado,814768.0,Valparaíso,2023-03-09,17,1174807,6,9,2,3.0,281
C00009,36,Masculino,Universitaria,Divorciado,996206.0,Valparaíso,2022-01-05,18,357176,6,8,1,4.0,162
C00010,48,Masculino,Técnica,Viudo,2806058.0,Valparaíso,2021-05-11,16,442404,10,8,1,4.0,312
C00011,36,Masculino,Media,Viudo,1541522.0,Valparaíso,2023-08-31,15,712203,4,8,1,3.0,340
C00012,36,Masculino,Universitaria,Soltero,657937.0,Metropolitana,2025-08-14,15,811397,3,5,1,5.0,158
C00013,44,Femenino,Media,Divorciado,1493373.0,Araucanía,2021-01-30,14,825318,9,3,0,4.0,324
C00014,19,Masculino,Técnica,Casado,598119.0,Valparaíso,2018-03-07,10,353901,15,7,1,4.0,21
C00015,21,femenino,Técnica,Soltero,1953323.0,Araucanía,2025-04-04,15,820331,10,6,1,5.0,347
C00016,35,Masculino,Universitaria,Divorciado,970751.0,Valparaíso,2021-02-08,13,520187,7,3,1,4.0,10
C00017,29,Masculino,Técnica,Divorciado,1150486.0,Biobío,05-11-2022,12,397351,3,9,1,4.0,87
C00018,45,Masculino,Universitaria,Divorciado,2179139.0,Valparaíso,2023-12-11,17,794739,6,13,1,4.0,33
C00019,31,Hombre,Postgrado,Casado,,Valparaíso,2022-09-25,10,747560,11,7,1,4.0,361
C00020,25,Masculino,Media,Casado,639939.0,Region Metropolitana,2019-03-23,15,1294173,7,9,0,1.0,339
C00021,59,Masculino,Técnica,Viudo,922841.0,Metropolitana,2025-04-12,13,477245,8,4,1,3.0,203
C00022,39,Masculino,Técnica,Viudo,1914759.0,Biobío,2025-06-11,15,921233,12,5,0,3.0,4
C00023,42,Femenino,Técnica,Divorciado,605691.0,Valparaíso,2025-04-16,13,312125,11,5,3,4.0,23
C00024,24,Femenino,Técnica,Divorciado,,Valparaíso,2018-10-08,11,678373,3,9,0,4.0,197
C00025,35,Femenino,Universitaria,Casado,979512.0,Araucanía,2019-08-19,13,1056607,1,8,1,4.0,309
C00026,43,Femenino,Universitaria,Viudo,1538187.0,Biobío,2023-06-10,17,1111454,9,9,0,4.0,274
C00027,28,Masculino,Universitaria,Divorciado,2059450.0,Valparaíso,2025-07-13,13,1116006,9,8,1,1.0,273
C00028,46,Femenino,Técnica,Viudo,974236.0,Araucanía,2020-12-10,14,1296258,5,9,0,3.0,107
C00029,34,Masculino,Universitaria,Viudo,997183.0,Araucanía,2018-07-29,17,612248,12,7,0,3.0,200
C00030,38,Femenino,Postgrado,Divorciado,2016930.0,Metropolitana,2018-05-06,14,1077120,3,10,1,3.0,343
